Perfil Twitter,Mensagem de Erro,Análise Total,Análise Amigos,Análise Temporal,Análise Rede,Análise Sentimento,URL do Perfil,Avatar do Perfil,ID do Usuário,Nome do Usuário,Criação da conta,Seguindo,Seguidores,Número de Tweets,Hashtags Recentes,Menções Recentes,Usou Cache
Bonato27730289,,96.73,,,,,,,,,,,,,,,
Everbolsoo,,96.72,,,,,,,,,,,,,,,
Cavalli_RR,,96.7,,,,,,,,,,,,,,,
Kantunes3,,96.69,,,,,,,,,,,,,,,
Mariade11220724,,96.68,,,,,,,,,,,,,,,
Bolsona56115722,,96.68,,,,,,,,,,,,,,,
Erica007733,,96.68,,,,,,,,,,,,,,,
Jorge285989,,96.68,,,,,,,,,,,,,,,
Ciro_ambiental,,96.67,,,,,,,,,,,,,,,
Fabiana65442720,,96.67,,,,,,,,,,,,,,,
Waldenilsonrobe,,96.67,,,,,,,,,,,,,,,
Claudio64516788,,96.66,,,,,,,,,,,,,,,
Clovis73798110,,96.66,,,,,,,,,,,,,,,
Freitas51196674,,96.66,,,,,,,,,,,,,,,
Railson38289730,,96.65,,,,,,,,,,,,,,,
MaraOliviaPo,,96.65,,,,,,,,,,,,,,,
cftvseginfo1,,96.64,,,,,,,,,,,,,,,
JESUS17359199,,96.64,,,,,,,,,,,,,,,
JenildoCoda,,96.63,,,,,,,,,,,,,,,
JooFern47899948,,96.62,,,,,,,,,,,,,,,
ValterR98681004,,96.61,,,,,,,,,,,,,,,
geraldo73971978,,96.61,,,,,,,,,,,,,,,
Suiane12406352,,96.61,,,,,,,,,,,,,,,
EDUARDO90076745,,96.61,,,,,,,,,,,,,,,
Moacyrodrigues,,96.6,,,,,,,,,,,,,,,
Edilain79063106,,96.6,,,,,,,,,,,,,,,
claudiowata,,96.6,,,,,,,,,,,,,,,
JULIOCE63078710,,96.59,,,,,,,,,,,,,,,
SeleneCordeiro,,96.58,,,,,,,,,,,,,,,
Joo83214,,96.58,,,,,,,,,,,,,,,
Sirlene_Lazz,,96.58,,,,,,,,,,,,,,,
Genildo73950217,,96.58,,,,,,,,,,,,,,,
Sonia76924946,,96.57,,,,,,,,,,,,,,,
cleide_ita,,96.56,,,,,,,,,,,,,,,
DEUSEFI18312831,,96.56,,,,,,,,,,,,,,,
lou_novak10,,96.55,,,,,,,,,,,,,,,
Eliude40029445,,96.55,,,,,,,,,,,,,,,
Nuria76231887,,96.54,,,,,,,,,,,,,,,
Pedro7788033033,,96.54,,,,,,,,,,,,,,,
PauloFl24609502,,96.53,,,,,,,,,,,,,,,
ndia64656837,,96.53,,,,,,,,,,,,,,,
lu_cssa,,96.53,,,,,,,,,,,,,,,
vian29578078,,96.53,,,,,,,,,,,,,,,
DiegoRi66068907,,96.52,,,,,,,,,,,,,,,
ClaraBr24050487,,96.52,,,,,,,,,,,,,,,
EricaFDTorre,,96.52,,,,,,,,,,,,,,,
soares_edeson,,96.52,,,,,,,,,,,,,,,
vandoal20036352,,96.52,,,,,,,,,,,,,,,
arquivoxandy,,96.51,,,,,,,,,,,,,,,
alevicentw,,96.51,,,,,,,,,,,,,,,
adeilton197906,,96.5,,,,,,,,,,,,,,,
MasdianTelas,,96.5,,,,,,,,,,,,,,,
DavidRi52998489,,96.5,,,,,,,,,,,,,,,
LuizRBoaVentura,,96.5,,,,,,,,,,,,,,,
Toninho67857503,,96.47,,,,,,,,,,,,,,,
DiniCamargo,,96.46,,,,,,,,,,,,,,,
IrenildaBarret3,,96.46,,,,,,,,,,,,,,,
Valdemi42347636,,96.45,,,,,,,,,,,,,,,
JooPaul17068725,,96.45,,,,,,,,,,,,,,,
FranSal35756315,,96.45,,,,,,,,,,,,,,,
LuizCar52747517,,96.45,,,,,,,,,,,,,,,
VeraLci25767200,,96.45,,,,,,,,,,,,,,,
Brasil_2026,,96.45,,,,,,,,,,,,,,,
GauchonoMA,,96.45,,,,,,,,,,,,,,,
isarossanesi,,96.44,,,,,,,,,,,,,,,
Abbyn06045508,,96.43,,,,,,,,,,,,,,,
Roberto05041963,,96.43,,,,,,,,,,,,,,,
